fy,level,func_cat_code,func_code,func_desc,districts,gen_fund_total,grants_revolving_total,total,grant_share,per_pupil_basis,per_pupil_min,per_pupil_p25,per_pupil_median,per_pupil_p75,per_pupil_max,lunenburg_per_pupil,lunenburg_rank_of_districts,doc_id
2009,category,ADMN,ADMN,Administration,328,387837193,18155404,405992597,0.0447,"per pupil, in-district FTE",175,355.8,448.5,592.2,2095,333,270 of 328,sources/state-dese/district-expenditures-by-function.xlsx
2009,category,BENE,BENE,"Insurance, Retirement Programs and Other",328,1828183590,228924257,2057107844,0.1113,"per pupil, in-district FTE",568,1522.8,1975.5,2450.5,5743,1693,216 of 328,sources/state-dese/district-expenditures-by-function.xlsx
2009,category,GUID,GUID,"Guidance, Counseling and Testing",326,307288891,20999994,328288885,0.0640,"per pupil, in-district FTE",8,277.0,344.0,441.0,1069,317,190 of 326,sources/state-dese/district-expenditures-by-function.xlsx
2009,category,LDRS,LDRS,Instructional Leadership,328,681596251,85688741,767284992,0.1117,"per pupil, in-district FTE",62,638.0,773.5,969.5,2064,765,172 of 328,sources/state-dese/district-expenditures-by-function.xlsx
2009,category,MATL,MATL,"Instructional Materials, Equipment and Technology",328,210009644,122108915,332118560,0.3677,"per pupil, in-district FTE",99,230.5,312.0,452.2,2385,127,322 of 328,sources/state-dese/district-expenditures-by-function.xlsx
2009,category,ODTR,ODTR,Out-of-district Transportation,278,99506816,0,99506816,0.0000,not published — DESE prints 0 per pupil against out-of-district rows,,,,,,,,sources/state-dese/district-expenditures-by-function.xlsx
2009,category,OPMN,OPMN,Operations and Maintenance,328,989779291,31777028,1021556317,0.0311,"per pupil, in-district FTE",500,903.0,1073.5,1317.5,4140,872,257 of 328,sources/state-dese/district-expenditures-by-function.xlsx
2009,category,PDEV,PDEV,Professional Development,328,120351272,87890584,208241854,0.4221,"per pupil, in-district FTE",6,82.8,142.0,212.5,959,85,244 of 328,sources/state-dese/district-expenditures-by-function.xlsx
2009,category,SERV,SERV,Pupil Services,328,642809249,444682090,1087491352,0.4089,"per pupil, in-district FTE",483,917.5,1085.0,1354.0,4109,1022,197 of 328,sources/state-dese/district-expenditures-by-function.xlsx
2009,category,TCHR,TCHR,Teachers,328,4097884820,457986730,4555871551,0.1005,"per pupil, in-district FTE",3417,4238.5,4706.0,5490.2,10351,4189,258 of 328,sources/state-dese/district-expenditures-by-function.xlsx
2009,category,TSER,TSER,Other Teaching Services,328,718221639,153586552,871808191,0.1762,"per pupil, in-district FTE",155,702.8,873.0,1141.5,2635,955,126 of 328,sources/state-dese/district-expenditures-by-function.xlsx
2009,detail,ADMN,1110,School Committee,325,17751098,492088,18243186,0.0270,"per pupil, in-district FTE",0,6.0,11.0,29.0,300,7,215 of 325,sources/state-dese/district-expenditures-by-function.xlsx
2009,detail,ADMN,1210,Superintendent,328,71053822,855253,71909075,0.0119,"per pupil, in-district FTE",15,66.0,106.5,168.2,770,102,173 of 328,sources/state-dese/district-expenditures-by-function.xlsx
2009,detail,ADMN,1220,Assistant Superintendents,151,23049393,596131,23645524,0.0252,"per pupil, in-district FTE",0,26.0,40.0,53.0,260,,,sources/state-dese/district-expenditures-by-function.xlsx
2009,detail,ADMN,1230,Other District-Wide Administration,160,20949724,5308295,26258020,0.2022,"per pupil, in-district FTE",0,12.8,32.0,55.2,568,,,sources/state-dese/district-expenditures-by-function.xlsx
2009,detail,ADMN,1410,Business and Finance,325,143779363,4094734,147874096,0.0277,"per pupil, in-district FTE",6,114.0,160.0,216.0,1802,136,201 of 325,sources/state-dese/district-expenditures-by-function.xlsx
2009,detail,ADMN,1420,Human Resources and Benefits,219,30885329,2030211,32915538,0.0617,"per pupil, in-district FTE",0,18.0,31.0,56.0,414,33,103 of 219,sources/state-dese/district-expenditures-by-function.xlsx
2009,detail,ADMN,1430,Legal Service for School Committee,308,15967686,467600,16435285,0.0285,"per pupil, in-district FTE",0,8.0,16.5,28.0,108,9,221 of 308,sources/state-dese/district-expenditures-by-function.xlsx
2009,detail,ADMN,1435,Legal Settlements,48,2769688,149570,2919258,0.0512,"per pupil, in-district FTE",0,3.0,7.0,16.0,91,,,sources/state-dese/district-expenditures-by-function.xlsx
2009,detail,ADMN,1450,District-wide Information Mgmt & Tech,283,61631095,4161524,65792620,0.0633,"per pupil, in-district FTE",0,32.0,63.0,106.0,436,45,184 of 283,sources/state-dese/district-expenditures-by-function.xlsx
2009,detail,BENE,5100,Employer Retirement Contributions,324,366102122,29197340,395299461,0.0739,"per pupil, in-district FTE",0,216.0,305.5,424.0,1788,110,308 of 324,sources/state-dese/district-expenditures-by-function.xlsx
2009,detail,BENE,5200,Insurance for Active Employees,328,1040835209,186596023,1227431233,0.1520,"per pupil, in-district FTE",318,963.8,1269.0,1580.5,3629,1078,211 of 328,sources/state-dese/district-expenditures-by-function.xlsx
2009,detail,BENE,5250,Insurance for Retired School Employees,275,336692499,7569525,344262024,0.0220,"per pupil, in-district FTE",12,196.0,363.0,538.0,1915,440,103 of 275,sources/state-dese/district-expenditures-by-function.xlsx
2009,detail,BENE,5260,Other Non-Employee Insurance,302,45186078,351281,45537359,0.0077,"per pupil, in-district FTE",0,32.2,56.0,109.0,671,66,126 of 302,sources/state-dese/district-expenditures-by-function.xlsx
2009,detail,BENE,5300,Rental Lease of Equipment,104,3991321,760739,4752060,0.1601,"per pupil, in-district FTE",0,3.0,13.0,30.0,688,,,sources/state-dese/district-expenditures-by-function.xlsx
2009,detail,BENE,5350,Rental Lease of Buildings,76,4077424,2321574,6398997,0.3628,"per pupil, in-district FTE",0,6.0,12.0,27.2,384,,,sources/state-dese/district-expenditures-by-function.xlsx
2009,detail,BENE,5400,Short Term Interest RANs,23,536966,0,536966,0.0000,"per pupil, in-district FTE",0,0.0,2.0,8.5,37,,,sources/state-dese/district-expenditures-by-function.xlsx
2009,detail,BENE,5500,Other Fixed Charges,98,20141987,2073156,22215144,0.0933,"per pupil, in-district FTE",0,3.0,13.0,33.5,315,,,sources/state-dese/district-expenditures-by-function.xlsx
2009,detail,BENE,5550,School Crossing Guards,108,10619994,54615,10674609,0.0051,"per pupil, in-district FTE",0,6.0,12.0,24.0,92,,,sources/state-dese/district-expenditures-by-function.xlsx
2009,detail,GUID,2710,Guidance incl Adjustment Counselors,309,214356971,9983167,224340138,0.0445,"per pupil, in-district FTE",1,185.0,249.0,340.0,915,273,127 of 309,sources/state-dese/district-expenditures-by-function.xlsx
2009,detail,GUID,2720,Testing and Assessment,236,9167037,2847441,12014478,0.2370,"per pupil, in-district FTE",0,2.0,6.0,18.2,209,,,sources/state-dese/district-expenditures-by-function.xlsx
2009,detail,GUID,2800,Psychological Services,312,83764876,8169386,91934262,0.0889,"per pupil, in-district FTE",1,59.0,83.0,130.2,575,44,265 of 312,sources/state-dese/district-expenditures-by-function.xlsx
2009,detail,LDRS,2110,Curriculum Directors  (Supervisory),317,118466030,39456235,157922265,0.2498,"per pupil, in-district FTE",1,96.0,157.0,227.0,1164,281,57 of 317,sources/state-dese/district-expenditures-by-function.xlsx
2009,detail,LDRS,2120,Department Heads  (Non-Supervisory),138,14022724,5554516,19577240,0.2837,"per pupil, in-district FTE",0,9.0,28.0,62.0,295,13,91 of 138,sources/state-dese/district-expenditures-by-function.xlsx
2009,detail,LDRS,2210,School Leadership,327,438786317,12245408,451031725,0.0271,"per pupil, in-district FTE",76,404.0,464.0,547.0,1754,444,194 of 327,sources/state-dese/district-expenditures-by-function.xlsx
2009,detail,LDRS,2220,Curriculum/Dept Leaders (School Level),183,59466413,7923873,67390286,0.1176,"per pupil, in-district FTE",0,14.0,39.0,97.0,746,9,148 of 183,sources/state-dese/district-expenditures-by-function.xlsx
2009,detail,LDRS,2250,Admin. Technology (School Level),239,26948393,2813898,29762291,0.0945,"per pupil, in-district FTE",0,10.0,43.0,103.0,725,,,sources/state-dese/district-expenditures-by-function.xlsx
2009,detail,LDRS,2315,Instructional Coordinators (Non-Supervisory),195,23906385,17694811,41601196,0.4253,"per pupil, in-district FTE",0,16.0,41.0,87.0,678,18,136 of 195,sources/state-dese/district-expenditures-by-function.xlsx
2009,detail,MATL,2410,"Textbooks, Related Software/Media/Matls",327,49706174,17626704,67332878,0.2618,"per pupil, in-district FTE",0,34.5,60.0,96.0,949,11,311 of 327,sources/state-dese/district-expenditures-by-function.xlsx
2009,detail,MATL,2415,Other Instructional Matls (Libraries),313,28051692,17785745,45837437,0.3880,"per pupil, in-district FTE",0,11.0,27.0,77.0,871,39,122 of 313,sources/state-dese/district-expenditures-by-function.xlsx
2009,detail,MATL,2420,Instructional Equipment,276,21258695,6468377,27727072,0.2333,"per pupil, in-district FTE",0,8.0,24.0,51.2,779,22,146 of 276,sources/state-dese/district-expenditures-by-function.xlsx
2009,detail,MATL,2430,General Classroom Supplies,315,49418262,18027978,67446246,0.2673,"per pupil, in-district FTE",0,39.0,75.0,110.0,1147,32,250 of 315,sources/state-dese/district-expenditures-by-function.xlsx
2009,detail,MATL,2440,Other Instructional Services,296,26406797,52258375,78665172,0.6643,"per pupil, in-district FTE",0,10.0,38.5,98.0,921,2,267 of 296,sources/state-dese/district-expenditures-by-function.xlsx
2009,detail,MATL,2451,Classroom Instructional Technology,286,24366965,6457244,30824209,0.2095,"per pupil, in-district FTE",0,9.2,26.5,59.8,510,18,170 of 286,sources/state-dese/district-expenditures-by-function.xlsx
2009,detail,MATL,2453,Other Instructional Hardware (Libraries),157,4969583,2448270,7417853,0.3301,"per pupil, in-district FTE",0,2.0,6.0,23.0,271,,,sources/state-dese/district-expenditures-by-function.xlsx
2009,detail,MATL,2455,Instructional Software,202,5831476,1036222,6867698,0.1509,"per pupil, in-district FTE",0,3.0,8.0,19.8,326,2,153 of 202,sources/state-dese/district-expenditures-by-function.xlsx
2009,detail,OPMN,4110,Custodial Services,327,325387127,9696160,335083285,0.0289,"per pupil, in-district FTE",8,305.5,362.0,448.0,1533,382,135 of 327,sources/state-dese/district-expenditures-by-function.xlsx
2009,detail,OPMN,4120,Heating of Buildings,319,137443282,2618591,140061870,0.0187,"per pupil, in-district FTE",0,125.0,168.0,236.0,1729,121,248 of 319,sources/state-dese/district-expenditures-by-function.xlsx
2009,detail,OPMN,4130,Utility Services,328,221419219,7244763,228663985,0.0317,"per pupil, in-district FTE",15,176.0,219.5,297.2,905,171,258 of 328,sources/state-dese/district-expenditures-by-function.xlsx
2009,detail,OPMN,4210,Maintenance of Grounds,301,41187335,703950,41891283,0.0168,"per pupil, in-district FTE",0,20.0,44.0,82.0,940,44,149 of 301,sources/state-dese/district-expenditures-by-function.xlsx
2009,detail,OPMN,4220,Maintenance of Buildings,324,191981759,7044241,199025996,0.0354,"per pupil, in-district FTE",5,91.8,152.5,246.2,1341,72,283 of 324,sources/state-dese/district-expenditures-by-function.xlsx
2009,detail,OPMN,4225,Building Security System,122,2279995,155156,2435151,0.0637,"per pupil, in-district FTE",0,2.0,5.0,10.8,114,9,38 of 122,sources/state-dese/district-expenditures-by-function.xlsx
2009,detail,OPMN,4230,Maintenance of Equipment,286,21194331,1286537,22480869,0.0572,"per pupil, in-district FTE",0,14.0,29.5,51.8,634,18,189 of 286,sources/state-dese/district-expenditures-by-function.xlsx
2009,detail,OPMN,4300,Extraordinary Maintenance,126,22952752,1327793,24280546,0.0547,"per pupil, in-district FTE",1,18.0,50.0,105.0,772,55,59 of 126,sources/state-dese/district-expenditures-by-function.xlsx
2009,detail,OPMN,4400,Networking and Telecommunications,167,13191905,679662,13871568,0.0490,"per pupil, in-district FTE",-1,8.0,21.0,47.0,295,,,sources/state-dese/district-expenditures-by-function.xlsx
2009,detail,OPMN,4450,Technology Maintenance,149,12741590,1020182,13761772,0.0741,"per pupil, in-district FTE",0,5.0,18.0,44.0,358,,,sources/state-dese/district-expenditures-by-function.xlsx
2009,detail,PDEV,2351,Professional Development Leadership,163,12567851,10896156,23464007,0.4644,"per pupil, in-district FTE",0,5.5,17.0,38.0,314,,,sources/state-dese/district-expenditures-by-function.xlsx
2009,detail,PDEV,2353,Instructional Staff-Professional Days,227,57131846,1849125,58980971,0.0314,"per pupil, in-district FTE",0,42.0,78.0,111.5,371,,,sources/state-dese/district-expenditures-by-function.xlsx
2009,detail,PDEV,2355,Substitutes for Prof. Development,194,3473699,868386,4342085,0.2000,"per pupil, in-district FTE",0,3.0,6.0,10.0,112,3,132 of 194,sources/state-dese/district-expenditures-by-function.xlsx
2009,detail,PDEV,2357,"Prof. Dev. Stipends, Providers, Expenses",319,47177886,74276917,121454803,0.6116,"per pupil, in-district FTE",0,41.0,69.0,114.0,791,82,121 of 319,sources/state-dese/district-expenditures-by-function.xlsx
2009,detail,SERV,3100,Attendance and Parent Liaison Services,137,13708779,1846417,15555196,0.1187,"per pupil, in-district FTE",0,2.0,8.0,35.0,336,,,sources/state-dese/district-expenditures-by-function.xlsx
2009,detail,SERV,3200,Medical/Health Services,326,114956941,7791769,122748711,0.0635,"per pupil, in-district FTE",27,100.2,124.0,163.8,991,105,223 of 326,sources/state-dese/district-expenditures-by-function.xlsx
2009,detail,SERV,3300,Transportation Services,327,358017040,73271437,431288477,0.1699,"per pupil, in-district FTE",0,311.0,429.0,594.0,2295,345,217 of 327,sources/state-dese/district-expenditures-by-function.xlsx
2009,detail,SERV,3400,Food Services,322,19247060,298886731,318133797,0.9395,"per pupil, in-district FTE",4,258.0,315.0,384.8,830,344,118 of 322,sources/state-dese/district-expenditures-by-function.xlsx
2009,detail,SERV,3510,Athletics,274,89452355,28606989,118059339,0.2423,"per pupil, in-district FTE",0,101.0,150.5,204.2,979,142,149 of 274,sources/state-dese/district-expenditures-by-function.xlsx
2009,detail,SERV,3520,Other Student Activities,288,21489593,33421217,54910810,0.6086,"per pupil, in-district FTE",1,25.0,44.0,99.2,702,86,86 of 288,sources/state-dese/district-expenditures-by-function.xlsx
2009,detail,SERV,3600,School Security,154,25937500,857531,26795031,0.0320,"per pupil, in-district FTE",0,9.0,20.5,45.5,354,,,sources/state-dese/district-expenditures-by-function.xlsx
2009,detail,TCHR,2305,"Teachers, Classroom",328,3731003077,364839101,4095842177,0.0891,"per pupil, in-district FTE",2514,3762.8,4203.0,4945.8,9652,3549,277 of 328,sources/state-dese/district-expenditures-by-function.xlsx
2009,detail,TCHR,2310,"Teachers, Specialists",292,366881751,93147628,460029378,0.2025,"per pupil, in-district FTE",3,188.0,518.5,828.2,2666,640,109 of 292,sources/state-dese/district-expenditures-by-function.xlsx
2009,detail,TSER,2320,Medical/ Therapeutic Services,289,175511307,22244004,197755311,0.1125,"per pupil, in-district FTE",1,122.0,210.0,297.0,1187,185,165 of 289,sources/state-dese/district-expenditures-by-function.xlsx
2009,detail,TSER,2325,"Substitutes, Short-Term",324,92134864,4730442,96865306,0.0488,"per pupil, in-district FTE",2,66.0,90.5,119.2,512,110,104 of 324,sources/state-dese/district-expenditures-by-function.xlsx
2009,detail,TSER,2330,Paraprofessionals,328,378591908,124532903,503124811,0.2475,"per pupil, in-district FTE",23,374.5,508.0,672.8,1693,614,111 of 328,sources/state-dese/district-expenditures-by-function.xlsx
2009,detail,TSER,2340,Librarians/Media Center Directors,318,71983563,2079203,74062766,0.0281,"per pupil, in-district FTE",6,61.0,88.0,123.0,589,46,268 of 318,sources/state-dese/district-expenditures-by-function.xlsx
2009,detail,TUIT,9100,Tuition to Mass. Schools,241,70104522,19564744,89669264,0.2182,not published — DESE prints 0 per pupil against out-of-district rows,,,,,,,,sources/state-dese/district-expenditures-by-function.xlsx
2009,detail,TUIT,9110,Tuition for School Choice,260,65214422,0,65214422,0.0000,not published — DESE prints 0 per pupil against out-of-district rows,,,,,,,,sources/state-dese/district-expenditures-by-function.xlsx
2009,detail,TUIT,9120,Tuition to Commonwealth Charter Schools,248,259721048,0,259721048,0.0000,not published — DESE prints 0 per pupil against out-of-district rows,,,,,,,,sources/state-dese/district-expenditures-by-function.xlsx
2009,detail,TUIT,9125,Tuition to Horace Mann Charter Schools,6,17793080,1336954,19130034,0.0699,not published — DESE prints 0 per pupil against out-of-district rows,,,,,,,,sources/state-dese/district-expenditures-by-function.xlsx
2009,detail,TUIT,9200,Tuition to Out-of-State Schools,90,15936236,5641358,21577595,0.2614,not published — DESE prints 0 per pupil against out-of-district rows,,,,,,,,sources/state-dese/district-expenditures-by-function.xlsx
2009,detail,TUIT,9300,Tuition to Non-Public Schools,271,256711541,203656075,460367618,0.4424,not published — DESE prints 0 per pupil against out-of-district rows,,,,,,,,sources/state-dese/district-expenditures-by-function.xlsx
2009,detail,TUIT,9400,Tuition to Collaboratives,250,121607098,38615084,160222180,0.2410,not published — DESE prints 0 per pupil against out-of-district rows,,,,,,,,sources/state-dese/district-expenditures-by-function.xlsx
2009,rollup,IIII,IIII,In-district Expenditure,328,9983961852,1651800302,11635762150,0.1420,"per pupil, in-district FTE",7995,10488.2,11682.0,14230.5,29623,10359,259 of 328,sources/state-dese/district-expenditures-by-function.xlsx
2009,rollup,OODD,OODD,Out-of-district Expenditure,314,906594756,268814216,1175408976,0.2287,not published — DESE prints 0 per pupil against out-of-district rows,,,,,,,,sources/state-dese/district-expenditures-by-function.xlsx
2009,total,TTPP,TTPP,"Expenditure (Admin, Instruction, Operations)",328,10890556604,1920614508,12811171119,0.1499,"per pupil, in-district FTE",8532,11156.0,12242.0,14324.8,28727,10605,279 of 328,sources/state-dese/district-expenditures-by-function.xlsx
2010,category,ADMN,ADMN,Administration,328,397398527,16316871,413715397,0.0394,"per pupil, in-district FTE",175,358.0,462.5,617.5,2976,363,239 of 328,sources/state-dese/district-expenditures-by-function.xlsx
2010,category,BENE,BENE,"Insurance, Retirement Programs and Other",328,1944873937,95570020,2040443960,0.0468,"per pupil, in-district FTE",606,1565.5,2026.5,2512.5,10104,1839,208 of 328,sources/state-dese/district-expenditures-by-function.xlsx
2010,category,GUID,GUID,"Guidance, Counseling and Testing",326,314123276,23189016,337312292,0.0687,"per pupil, in-district FTE",51,280.2,351.0,458.5,1152,305,219 of 326,sources/state-dese/district-expenditures-by-function.xlsx
2010,category,LDRS,LDRS,Instructional Leadership,328,673264613,89121648,762386261,0.1169,"per pupil, in-district FTE",127,639.5,786.0,971.8,2223,729,186 of 328,sources/state-dese/district-expenditures-by-function.xlsx
2010,category,MATL,MATL,"Instructional Materials, Equipment and Technology",328,215411392,149830649,365242035,0.4102,"per pupil, in-district FTE",64,243.5,325.0,480.8,2206,111,320 of 328,sources/state-dese/district-expenditures-by-function.xlsx
2010,category,ODTR,ODTR,Out-of-district Transportation,281,109030716,0,109030716,0.0000,not published — DESE prints 0 per pupil against out-of-district rows,,,,,,,,sources/state-dese/district-expenditures-by-function.xlsx
2010,category,OPMN,OPMN,Operations and Maintenance,328,940683411,30819357,971502766,0.0317,"per pupil, in-district FTE",490,863.5,1026.0,1261.2,3855,846,258 of 328,sources/state-dese/district-expenditures-by-function.xlsx
2010,category,PDEV,PDEV,Professional Development,328,106216882,103732588,209949471,0.4941,"per pupil, in-district FTE",8,89.0,133.0,217.0,848,92,238 of 328,sources/state-dese/district-expenditures-by-function.xlsx
2010,category,SERV,SERV,Pupil Services,328,676652445,401676358,1078328797,0.3725,"per pupil, in-district FTE",423,912.5,1092.0,1374.0,3829,996,212 of 328,sources/state-dese/district-expenditures-by-function.xlsx
2010,category,TCHR,TCHR,Teachers,328,4166381328,433047003,4599428327,0.0942,"per pupil, in-district FTE",3209,4350.5,4783.0,5603.5,11754,4349,247 of 328,sources/state-dese/district-expenditures-by-function.xlsx
2010,category,TSER,TSER,Other Teaching Services,328,725115686,164087073,889202759,0.1845,"per pupil, in-district FTE",220,704.0,886.0,1189.2,3336,936,149 of 328,sources/state-dese/district-expenditures-by-function.xlsx
2010,detail,ADMN,1110,School Committee,324,22789532,247133,23036663,0.0107,"per pupil, in-district FTE",0,5.0,12.0,28.0,282,5,240 of 324,sources/state-dese/district-expenditures-by-function.xlsx
2010,detail,ADMN,1210,Superintendent,328,70191246,1066936,71258182,0.0150,"per pupil, in-district FTE",9,65.8,104.0,180.2,870,103,167 of 328,sources/state-dese/district-expenditures-by-function.xlsx
2010,detail,ADMN,1220,Assistant Superintendents,147,21755639,933372,22689010,0.0411,"per pupil, in-district FTE",0,22.5,39.0,52.0,256,,,sources/state-dese/district-expenditures-by-function.xlsx
2010,detail,ADMN,1230,Other District-Wide Administration,153,26099074,5208761,31307835,0.1664,"per pupil, in-district FTE",0,13.0,32.0,58.0,522,,,sources/state-dese/district-expenditures-by-function.xlsx
2010,detail,ADMN,1410,Business and Finance,326,138551078,4867016,143418095,0.0339,"per pupil, in-district FTE",4,112.0,161.5,230.8,2702,149,182 of 326,sources/state-dese/district-expenditures-by-function.xlsx
2010,detail,ADMN,1420,Human Resources and Benefits,216,29284920,841159,30126079,0.0279,"per pupil, in-district FTE",0,17.0,30.0,48.8,584,35,88 of 216,sources/state-dese/district-expenditures-by-function.xlsx
2010,detail,ADMN,1430,Legal Service for School Committee,312,16468794,331762,16800556,0.0197,"per pupil, in-district FTE",0,9.0,17.0,29.0,212,9,225 of 312,sources/state-dese/district-expenditures-by-function.xlsx
2010,detail,ADMN,1435,Legal Settlements,55,2845465,84388,2929853,0.0288,"per pupil, in-district FTE",0,3.0,8.0,18.0,367,,,sources/state-dese/district-expenditures-by-function.xlsx
2010,detail,ADMN,1450,District-wide Information Mgmt & Tech,280,69412799,2736348,72149147,0.0379,"per pupil, in-district FTE",0,36.0,71.0,119.5,603,63,156 of 280,sources/state-dese/district-expenditures-by-function.xlsx
2010,detail,BENE,5100,Employer Retirement Contributions,323,306099092,26006817,332105906,0.0783,"per pupil, in-district FTE",3,229.0,329.0,454.5,2292,120,305 of 323,sources/state-dese/district-expenditures-by-function.xlsx
2010,detail,BENE,5200,Insurance for Active Employees,328,1181456174,64251168,1245707342,0.0516,"per pupil, in-district FTE",322,986.0,1260.0,1598.2,3922,1212,176 of 328,sources/state-dese/district-expenditures-by-function.xlsx
2010,detail,BENE,5250,Insurance for Retired School Employees,286,366956753,747994,367704747,0.0020,"per pupil, in-district FTE",17,214.5,365.5,547.8,3386,455,105 of 286,sources/state-dese/district-expenditures-by-function.xlsx
2010,detail,BENE,5260,Other Non-Employee Insurance,301,47904824,164554,48069378,0.0034,"per pupil, in-district FTE",1,30.0,54.0,110.0,1218,52,159 of 301,sources/state-dese/district-expenditures-by-function.xlsx
2010,detail,BENE,5300,Rental Lease of Equipment,106,5248544,488445,5736988,0.0851,"per pupil, in-district FTE",0,3.0,17.0,30.8,989,,,sources/state-dese/district-expenditures-by-function.xlsx
2010,detail,BENE,5350,Rental Lease of Buildings,76,3757285,1999412,5756697,0.3473,"per pupil, in-district FTE",0,5.8,12.0,26.2,370,,,sources/state-dese/district-expenditures-by-function.xlsx
2010,detail,BENE,5400,Short Term Interest RANs,18,347576,1289,348865,0.0037,"per pupil, in-district FTE",0,0.0,1.5,5.8,20,,,sources/state-dese/district-expenditures-by-function.xlsx
2010,detail,BENE,5500,Other Fixed Charges,93,20301721,1781682,22083402,0.0807,"per pupil, in-district FTE",0,3.0,11.0,32.0,336,,,sources/state-dese/district-expenditures-by-function.xlsx
2010,detail,BENE,5550,School Crossing Guards,127,12801969,128662,12930631,0.0100,"per pupil, in-district FTE",0,6.0,13.0,25.0,100,,,sources/state-dese/district-expenditures-by-function.xlsx
2010,detail,GUID,2710,Guidance incl Adjustment Counselors,310,221405321,9886959,231292280,0.0427,"per pupil, in-district FTE",0,188.2,259.0,348.5,977,264,149 of 310,sources/state-dese/district-expenditures-by-function.xlsx
2010,detail,GUID,2720,Testing and Assessment,230,7592256,3665017,11257273,0.3256,"per pupil, in-district FTE",0,2.0,6.0,14.0,288,,,sources/state-dese/district-expenditures-by-function.xlsx
2010,detail,GUID,2800,Psychological Services,311,85125696,9637040,94762736,0.1017,"per pupil, in-district FTE",0,62.0,90.0,141.0,592,41,280 of 311,sources/state-dese/district-expenditures-by-function.xlsx
2010,detail,LDRS,2110,Curriculum Directors  (Supervisory),315,112993069,47601958,160595027,0.2964,"per pupil, in-district FTE",3,97.0,163.0,235.0,1125,228,84 of 315,sources/state-dese/district-expenditures-by-function.xlsx
2010,detail,LDRS,2120,Department Heads  (Non-Supervisory),136,15439684,4874684,20314368,0.2400,"per pupil, in-district FTE",0,8.5,29.5,58.2,337,,,sources/state-dese/district-expenditures-by-function.xlsx
2010,detail,LDRS,2210,School Leadership,327,434022272,11119342,445141614,0.0250,"per pupil, in-district FTE",75,403.0,465.0,569.5,1525,462,167 of 327,sources/state-dese/district-expenditures-by-function.xlsx
2010,detail,LDRS,2220,Curriculum/Dept Leaders (School Level),178,60548769,5720420,66269189,0.0863,"per pupil, in-district FTE",0,14.0,42.5,105.8,970,22,118 of 178,sources/state-dese/district-expenditures-by-function.xlsx
